iter	Passed	Remaining
886	1578	201
887	1579	199
888	1580	197
889	1582	195
890	1583	193
891	1584	191
892	1587	190
893	1588	188
894	1590	186
895	1591	184
896	1592	182
897	1593	181
898	1595	179
899	1596	177
900	1597	175
901	1598	173
902	1601	172
903	1603	170
904	1604	168
905	1606	166
906	1607	164
907	1608	162
908	1609	161
909	1611	159
910	1612	157
911	1613	155
912	1616	154
913	1618	152
914	1620	150
915	1621	148
916	1622	146
917	1624	145
918	1625	143
919	1626	141
920	1628	139
921	1629	137
922	1631	136
923	1633	134
924	1634	132
925	1635	130
926	1637	128
927	1638	127
928	1640	125
929	1641	123
930	1642	121
931	1643	119
932	1646	118
933	1647	116
934	1648	114
935	1650	112
936	1651	111
937	1652	109
938	1653	107
939	1655	105
940	1656	103
941	1657	102
942	1660	100
943	1662	98
944	1663	96
945	1664	95
946	1665	93
947	1667	91
948	1668	89
949	1669	87
950	1670	86
951	1672	84
952	1673	82
953	1675	80
954	1677	79
955	1678	77
956	1679	75
957	1680	73
958	1682	71
959	1683	70
960	1684	68
961	1685	66
962	1687	64
963	1689	63
964	1691	61
965	1693	59
966	1694	57
967	1695	56
968	1696	54
969	1698	52
970	1699	50
971	1700	48
972	1701	47
973	1703	45
974	1706	43
975	1707	41
976	1709	40
977	1710	38
978	1711	36
979	1713	34
980	1714	33
981	1715	31
982	1716	29
983	1719	27
984	1721	26
985	1722	24
986	1723	22
987	1725	20
988	1726	19
989	1727	17
990	1729	15
991	1730	13
992	1731	12
993	1733	10
994	1735	8
995	1737	6
996	1738	5
997	1739	3
998	1740	1
999	1742	0
